Titre VF;Titre VO;Auteur(s);Format;Lectorat;Genre 1;Genre 2;Editeur;Collection;Année;Nombre de pages;Langue;Note personnelle (/20);Moyenne (/20);Date de lecture;Date d'achat;Type de livre;ISBN;Résumé
Que je vous aime, que je t'aime !;;Collectif ;Roman;Adulte;Contemporain;;Folio ;;2018;128;Française;;14;;26/06/2023 20:23;Livre papier;9,78E+12;"Il n'est pas toujours facile de trouver les bons mots pour avouer son amour.
Comment ne pas paraître gauche ou ridicule, importun ou trop pressant ? C'est un moment si important qu'il ne faut pas se fourvoyer. Avec le Cid et Chimène, Pâris et la belle Hélène, Juliette Drouet et Victor Hugo ou Cyrano et Roxane, apprenez à déclarer votre flamme..."
Mon cher petit Lou;;Apollinaire Guillaume;Correspondance;Adulte;Histoire vraie;;Folio ;;2014;112;Française;;15,3;;26/06/2023 20:23;Livre papier;9,78E+12;"«Au revoir ma chérie, je t'embrasse de tout mon cœur, de toute ma force, de toute ma virilité sur tout ce que je désire, sur tes seins roses et merveilleux. Tes lettres sentent bon les parfums de Grasse. Ce matin à l'écurie j'ai trouvé un pinson mort de froid, mais encore tiède. Je voulais lui masser le cœur pour essayer de le faire revivre, mais le vieil adjudant de ma batterie, me l'a demandé pour le porter au mess, et le manger.»

Hymne à l'amour vibrant et sensuel en temps de guerre, ces lettres d'Apollinaire sont aussi un précieux témoignage sur la vie quotidienne des poilus."
10 jours pour une love story;The Love of My Afterlife;Greenwood Kirsty;Roman;Adulte;Romance;Contemporain;Penguin Books;;2024;400;Anglaise;;17,3;;23/09/2025 19:10;Livre papier;9,78E+12;"Si elle n’était pas déjà morte, Delphie mourrait de honte. Elle vient de s’étouffer avec un infâme hamburger cuit au micro-ondes, et la voilà maintenant à Evermore dans la salle d’attente de l’au-delà, vêtue d’une abominable chemise de nuit devant un homme très séduisant. Alors qu’ils font connaissance, l’étincelle jaillit et Delphie pense avoir enfin rencontré son âme soeur. Mais catastrophe, à la suite d’une erreur administrative, il est renvoyé sur Terre, plus précisément à Londres !

Heureusement, Delphie se voit offrir une dernière chance : dix jours sur Terre pour retrouver son bel inconnu et l’embrasser. Si elle réussit, elle sera autorisée à rester avec lui, sinon tout ce qui l’attend est un aller simple pour l’au-delà…"
13 minutes;13 minutes;Pinborough Sarah;Roman;Adulte;Thriller;;Castelmore;;2020;449;Française;;14;;24/04/2020 21:13;Livre papier;9,78E+12;"« Pendant 13 minutes je suis morte, et maintenant je veux savoir pourquoi. »

Natasha Howland, seize ans et reine du lycée, est retrouvée un matin à moitié noyée dans la rivière. Déclarée morte pendant treize minutes, elle survit néanmoins, mais déclare n’avoir aucun souvenir des vingt-quatre heures précédant sa chute dans la rivière. Suicide, regrettable accident ou tentative de meurtre ? Bien vite, la police semble convaincue du caractère intentionnel de l’affaire. Becca, amie d’enfance délaissée de Natasha, se retrouve malgré elle prise dans l’engrenage de cette affaire et décide de mener sa propre enquête. Ce n’est que le début des drames et des soupçons qui vont s’abattre sur le lycée de Brackston..."
15 voyages extraordinaires;;Verne Jules;Roman;Adulte;Aventure;;Flammarion;;2011;256;Française;;;;18/12/2023 22:17;Livre papier;9,78E+12;Et si nous faisions le tour du monde ? Dans les airs, sous l’eau et dans l’espace, dans des temps réels ou imaginaires, vers des contrées lointaines et exotiques ! Quinze voyages dans l’univers extraordinaire de Jules Verne nous emmènent sur les traces de ses héros, au rythme de leurs aventures, des multiples dangers qu’ils encourent et de leurs incroyables découvertes.
17 millimètres;;Médina Florence;Roman;Young Adult;Contemporain;;Scrineo;;2024;224;Française;;16,9;;14/11/2024 15:43;Livre papier;9,78E+12;"Un roman d’une justesse à couper le souffle sur l’avortement!
&quot;Comment peut-on se retrouver
En consultation pour une IVG
Avec une culotte
À licornes ?&quot;
Cet été, en camp d'ado, Mona et Liam ont fait l'amour pour la première fois. C'était bien.
Sauf que le préservatif a craqué.
Et qu'ils n'ont pas osé demander aux monos de les accompagner à la pharmacie pour demander une pilule du lendemain.
Mais après tout, Mona avait eu ses règles quelques jours plus tôt, alors... ça ne risquait rien, si ?
Six semaines plus tard, la jeune femme doit se rendre à l'évidence : elle est enceinte. Et d'après les informations qu'elle a glanées sur le net, elle héberge déjà un embryon de 17 millimètres.
C'est peu et c'est beaucoup, 17 millimètres. C'est trop quand on ne veut pas d'un enfant, là, tout de suite, à 16 ans.
Mona a le choix, le droit d'avorter. Ce n'est pas facile pour autant."
1984;Nineteen Eighty-Four / 1984;Orwell George;Roman;Adulte;Science-Fiction;;Folio ;;2012;391;Française;;16,3;;18/12/2023 21:05;Livre papier;9,78E+12;"En 1984, alors que l'Océania est toujours en guerre contre l'Eurasia, Winston, dans un acte de désobéissance extrême, décide de tenir son journal... Il lui faut, en plus, redoubler de prudence lorsque la fille aux cheveux noirs prend contact avec lui. En Océania, les relations hors mariage sont proscrites, les amitiés doivent rester superficielles et il est interdit de se mélanger aux prolétaires. 
La Police de la Pensée veille, et Big Brother ne vous lâche pas des yeux. Le livre culte d'Orwell adapté en roman graphique."
2084 : La fin du monde;;Sansal Boualem;Roman;Adulte;Science-Fiction;;Folio ;;2017;331;Française;;13,4;26/08/2025 17:48;26/08/2025 17:48;Livre papier;2072713986;"L’Abistan, immense empire, tire son nom du prophète Abi, «délégué» de Yölah sur terre. Son système est fondé sur l’amnésie et la soumission au dieu unique. Toute pensée personnelle est bannie, un système de surveillance omniprésent permet de connaître les idées et les actes déviants. Officiellement, le peuple unanime vit dans le bonheur de la foi sans questions. 
Le personnage central, Ati, met en doute les certitudes imposées. Il se lance dans une enquête sur l’existence d’un peuple de renégats, qui vit dans des ghettos, sans le recours de la religion… 
Boualem Sansal s’est imposé comme une des voix majeures de la littérature contemporaine. Au fil d’un récit débridé, plein d’innocence goguenarde, d’inventions cocasses ou inquiétantes, il s’inscrit dans la filiation d’Orwell pour brocarder les dérives et l’hypocrisie du radicalisme religieux qui menace les démocraties."
3 mètres au dessus du ciel /  Trois mètres au-dessus du ciel;3 Metri sopra il cielo;Moccia Federico;Roman;Adulte;Romance;Drame;Gallimard ;Pôle Fiction;2012;521;Française;;15,7;;24/06/2019 16:00;Livre papier;;"Jeunes et déchaînés, ils s'aiment 
jusqu'à décoller de terre, 
jusqu'à toucher le ciel. 
Plus que ça. 
Au moins.., trois mètres au-dessus du ciel ! 
Mais ils ne sont pas seuls: il y a le lycée, 
les parents, la bande de copains qui dérape 
et franchit les limites..."
3000 façons de dire je t'aime;;Murail Marie-Aude;Roman;Adolescence;Contemporain;;L'École des loisirs;;2013;272;Française;;17;;23/12/2024 15:30;Livre papier;;"Chloé, Bastien et Neville ont eu en cinquième une professeure de français qui n’aimait que les livres qui finissent mal. Un soir, elle les a emmenés pour la première fois au théâtre voir une représentation de Dom Juan de Molière. Cette soirée a changé leur vie. C’est décidé, ils seront comédiens ! 
 Six ans plus tard, leur désir de monter sur scène est intact et ils se retrouvent au conservatoire d’art dramatique de leur ville. Le professeur le plus réputé, Monsieur Jeanson, les prend tous les trois dans son cours. 
 Chloé va devoir concilier les cours de théâtre avec le rythme intensif de la classe préparatoire qu’elle vient d’intégrer. Bastien, prêt à tout pour faire rire, pense qu’il suffit de regarder une vidéo de Louis de Funès pour apprendre la tirade d’Harpagon. Le beau et ténébreux Neville a peur de se donner les moyens de son ambition, d’être un autre pour savoir enfin qui il est. Comment le théâtre va-t-il lier pour toujours la jolie jeune première, le valet de comédie et le héros romantique que Jeanson a su voir en eux ?"
